"#tblds_11_OrganicAcids_1980s_1990s.csv: Concentrations of low-molecular-weight organic acids in groundwater derived from the degradation of petroleum contamination at National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA from 1986 - 1990.  For wells with no oil, groundwater samples were collected with a submersible pump (Keck or Fultz) fitted with polytetrafluoroethylene (PTFE) tubing.  For wells with oil, groundwater samples were collected with a PTFE bailer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR. NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID,dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,qaqc_sample,medium_cd,sample_type_cd,lab_type_cd,lab_rep_cd,lab_run_cd,parm_cd,parm_shortname,remark_cd,result_va,result_variability,result_variability_descript,meth_cd,pub,Comments,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ds_11,x310E,B 310e,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO086,2_4_6_TMe_benzoic_acid_ugL,<,5,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ds_11,x310E,B 310e,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO087,2_4_5_TMe_benzoic_acid_ugL,<,5,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ds_11,x310E,B 310e,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO088,benzoic_acid_ugL,E,10,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,Final,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WI DNR GRO,MNPCA,,UNKNOWN,1/1/1900
15,ds_11,x310E,B 310e,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO089,hydroquinone_ugL,U,,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,Final,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WI DNR GRO,MNPCA,,UNKNOWN,1/1/1900
16,ds_11,x310E,B 310e,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO090,resorcinol_ugL,U,,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO075,acetic_acid_ugL,,39,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO076,propanoic_acid_ugL,<,10,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO077,isopentanoic_acid_ugL,<,5,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO078,heptanoic_acid_ugL,<,5,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO079,phenol_ugL,U,,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO080,cyclohexanoic_acid_ugL,,66,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO082,x_x_DMe_cyclohexanoic_acid_ugL,,253,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO083,o_toluic_acid_ugL,,17,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO084,m_or_p_toluic_acid_ugL,<,5,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ds_11,x420A,B 420a,7/15/1986,Exact sample date unknown. I. Cozzarelli records indicated only month/year of sample collection.  Assigned sample date of the 15th of the month.  ,N,WG,9,L9,A,1,xLO085,m_and_p_MePh_acetic_acid_ugL,,38,,,xLGC03,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
