LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x15seis2.04,Bemidji,ss,seismic survey blast point,,,342674.59,5271122.03,,,432.612,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.03,Bemidji,ss,seismic survey blast point,,,342669.44,5271127.37,,,432.617,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.02,Bemidji,ss,seismic survey blast point,,,342664.23,5271132.03,,,432.296,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.01,Bemidji,ss,seismic survey blast point,,,342658.76,5271136.95,,,431.333,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15.r79,Bemidji,scf,soil CO2 efflux collar,,,342823.96,5271043.59,,,432.547,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.t79,Bemidji,scf,soil CO2 efflux collar,,,342829.9,5271045.57,,,432.554,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.u79,Bemidji,scf,soil CO2 efflux collar,,,342836.87,5271049.01,,,432.652,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.w86,Bemidji,scf,soil CO2 efflux collar,,,342848.86,5271060.03,1.0,65.68,432.848,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.w93,Bemidji,scf,soil CO2 efflux collar,,,342845.13,5271066.13,1.0,64.74,432.91,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.w100,Bemidji,scf,soil CO2 efflux collar,,,342843.32,5271072.49,,,433.164,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.v100,Bemidji,scf,soil CO2 efflux collar,,,342836.71,5271070.47,,,433.083,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.v93,Bemidji,scf,soil CO2 efflux collar,,,342831.98,5271061.08,1.0,50.68,432.908,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.u86,Bemidji,scf,soil CO2 efflux collar,,,342834.97,5271054.76,1.0,50.85,432.792,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.t86,Bemidji,scf,soil CO2 efflux collar,,,342828.76,5271052.35,1.0,44.19,432.72,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.t93,Bemidji,scf,soil CO2 efflux collar,,,342823.86,5271059.72,,,433.002,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.t100,Bemidji,scf,soil CO2 efflux collar,,,342823.17,5271066.94,,,432.961,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.u100,Bemidji,scf,soil CO2 efflux collar,,,342829.54,5271068.47,,,433.055,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.s100,Bemidji,scf,soil CO2 efflux collar,,,342816.18,5271065.51,,,432.882,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.r93,Bemidji,scf,soil CO2 efflux collar,,,342817.21,5271057.23,,,432.928,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.r100,Bemidji,scf,soil CO2 efflux collar,,,342809.82,5271064.2,,,432.643,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.q100,Bemidji,scf,soil CO2 efflux collar,,,342802.73,5271060.73,,,432.333,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.p100,Bemidji,scf,soil CO2 efflux collar,,,342796.98,5271056.47,,,432.028,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15.q93,Bemidji,scf,soil CO2 efflux collar,,,342808.31,5271053.53,,,432.667,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xold.tdr1,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342666.81,5270971.12,,,431.941,0.0,,,USGS MN Water Science Center,Not applicable,,,,
xold.tdr2,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342688.86,5270950.75,,,429.273,0.0,,,USGS MN Water Science Center,Not applicable,,,,
xold.tdr3,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342702.44,5270938.28,,,428.657,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.40,Bemidji,ss,seismic survey blast point,,,342871.56,5270936.31,,,430.047,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x1803,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,342670.48,5270962.2,,,431.888,0.0,20180626,,USGS MN Water Science Center,B. Mason; J.W. Lund; J. Nieber,continuous measurements of soil moisture and temperature,"Installed (5) Decagon soil moisture & temperature sensors in an array. Installed at 15 cm, 45 cm, 75 cm, 110 cm, and 150 cm BLS. Sensors were installed horizontally in borehole wall in a vertical array. Backfilled with hydrophoic sands, especially near LS",,"Soil moisture/temp array installed at top of spray zone hill with post hole digger. Installed Decagon soil moist/temp sensors at 15cm, 45cm, 75cm, 110cm, and 150cm BLS. Soil samples collected at 0-6'', 6-12'', 12-24'', 24-36'', 36-48'', and 48-60'' BLS."
x1804,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,342697.8,5270943.38,,,429.361,0.0,20180627,,USGS MN Water Science Center,J. Neiber,continuous measurements of soil moisture and temperature,"Installed (5) Decagon soil moisture & temperature sensors in an array. Installed at 15 cm, 45 cm, 75 cm, 110 cm, and 150 cm BLS. Sensors were installed horizontally in borehole wall in a vertical array. Backfilled with hydrophoic sands, especially near LS",,"Soil moisture/temp array installed at top of spray zone hill with post hole digger. Installed Decagon soil moist/temp sensors at 15cm, 45cm, 75cm, 110cm, and 150cm BLS. Soil samples collected at 0-6'', 6-12'', 12-24'', 24-36'', 36-48'', and 48-60'' BLS."
xF310G.4,Bemidji,scf,soil CO2 efflux collar,,,342602.42,5270947.18,1.0,-205.35,436.638,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 310G near the existing collar to compare old vs. new flux collar installations.
xF2.1,Bemidji,scf,soil CO2 efflux collar,,,342702.42,5271075.19,,,432.08,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at F2 near the existing collar to compare old vs. new flux collar installations.
xF1402G.1,Bemidji,scf,soil CO2 efflux collar,,,342811.89,5271035.6,1.0,-21.98,432.852,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 1402G near the existing collar to compare old vs. new flux collar installations.
xL310-1.5,Bemidji,sl,suction lysimeter soil-water sampler,,,342605.76,5270952.42,,,433.453,0.0,20190624,,USGS MN Water Science Center,"B. Mason, J. Letsos",for collecting unsaturated zone soil water samples,stainless steel suction lysimeter. Lysimeter screened interval is approximately at 5 ft BLS. Sample line is teflon tubing.,,"Part of a new nest of 310 lysimeters, located at the 310 background site."
xL310-4.5,Bemidji,sl,suction lysimeter soil-water sampler,,,342604.47,5270953.06,,,433.572,0.0,20190625,,USGS MN Water Science Center,"B. Mason, J. Letsos",for collecting unsaturated zone soil water samples,stainless steel suction lysimeter. Lysimeter screened interval at 14.66-14.96 ft. BLS. Sample line is teflon tubing.,,"Part of a new nest of 310 lysimeters, located at the 310 background site."
x1901,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,342603.47,5270957.5,,,433.679,0.0,20190618,"Drilled borehole on 6/18/19, installed 3 soil moisture/temperature sensors on 6/22/19",USGS MN Water Science Center,"J. Letsos, J. Trost",continuous measurements of soil moisture and temperature,"Installed (3) Campbell CS655, (12cm rods) soil moisture/temp sensors in an array. Installed at 1.5, 3.0, 4.5 meters BLS. Sensors were installed horizontally in borehole wall in a vertical array. Backfilled with native material, bentonite 0.5-1.5 ft. BLS.",,Located near 310D well. This is the borehole location for the 3 soil moisture/temperature sensors installed at the 310 background site. Installed 42'' SE of 310G site. Marked with core plate.
x1902,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342610.94,5270949.57,,,433.307,0.0,20190619,,USGS MN Water Science Center,"B. Mason, J. Letsos",Geophysical self-potential (SP) measurements,"Installed Geophysics SP sensor array at this site. After cores were collected at this location, drilled to 37 ft. BLS with drill rig. Then installed 10 SP electrode sensors between 26-36 ft. BLS. The third electrode has been problematic since installation",,"Located near 310 well nest. After collecting cores, Geophysics SP electrode array was installed in borehole. 10 SP electrodes were installed between 26-36 ft. BLS. Third electrode was problematic since installation."
x1903,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342807.82,5271049.21,,,432.728,0.0,20190620,,USGS MN Water Science Center,"B. Mason, J. Letsos",Geophysical self-potential (SP) measurements,"Installed Geophysics SP sensor array at this site. After cores were collected at this location, drilled to 35 ft. BLS with drill rig. Then installed sensor array. Then installed 10 SP electrode sensors between 26-36 ft. BLS.",,"Located near 534 well nest. After collecting cores, Geophysics SP electrode sensor array was installed in borehole. 10 SP electrodes were installed between 26-36 ft. BLS."
x1905,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342763.6,5271037.41,,,430.112,0.0,20190621,,USGS MN Water Science Center,"B. Mason, J. Letsos",Geophysical resistivity measurements,"Installed Geophysics resistivity array. After cores were collected at this location, drilled to 33 ft. BLS with drill rig. Geophysics ERI electrode array was installed between 5-32 ft. BLS. Electrodes 4, 15, 19 were briefly problematic after installation.",,"Located near well 1202. After collecting cores, Geophysics ERI electrode array was installed in borehole. 31 ERI electrodes were installed between 5-32 ft. BLS. Forth, fifteenth, and nineteenth electrodes were briefly problematic after installation."
x1906,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342762.81,5271039.29,,,430.137,0.0,20190621,,USGS MN Water Science Center,"B. Mason, J. Letsos",Geophysical self-potential (SP) measurements,Installed Geophysics SP sensor array at this site. Drilled to 27' BLS with drill rig to install array. No cores were collected. Then installed 10 SP electrode sensors between 13-26 ft. BLS. Forth & seventh electrodes have been problematic.,,"Located near well 1202. After collecting cores, Geophysics SP electrode sensor array was installed in borehole. 10 SP electrodes were installed between 13-26 ft. BLS. Forth & seventh electrodes have been problematic."
x1908,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,,,,,430.107,0.0,20190624,,USGS MN Water Science Center,"B. Mason, J. Letsos",continuous measurements of soil moisture and temperature,"Installed (1) Campbell CS655, (12cm rod) soil moisture/temp sensors in an array. Installed at 3.25 meters BLS. Sensor was installed horizontally in borehole. Backfilled with native material, bentonite 1-2 ft. BLS.",,Located near well 1907.
x1909,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342613.25,5270948.14,,,433.462,0.0,20190625,,USGS MN Water Science Center,"B. Mason, J. Letsos",Geophysical resistivity measurements,"Installed Geophysics resistivity array at this site. Installed array after collecting core for Brady. Drilled to 35' BLS after coring, to installed array.",,Located near 310 well nest
x1302G.2,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,,,1.0,-23.9,,0.0,20191015,,USGS MN Water Science Center,"B. Mason, J. Trost","continuous measurements of soil moisture, temperature, CO2, O2, and vapor concentations","vertical array of 2 O2 (Apogee SO-110), 2 CO2 sensors (Vaisala), 2 CS655 soil moisture/temp sensors, and 2 vapor ports","Replacement sensors & vapor ports for original 1302 site: UZ Vapor ports, oxygen sensors, carbon dioxide sensors. See P:\0083\analysis\campbell\1302G\Current\201910_SensorInstallationNotes.docx for details about installation",Next to 1302G site
xB-pipeline,Bemidji,,,,,,,,,,,,installation date unknown,Enbridge Energy,Not applicable,pipeline,pipeline,record added to database to accommodate pipeline oil samples,
x1613,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342545.8,5271091.13,,,433.985,0.091,20160809,,USGS MN Water Science Center,B. Mason; J.W. Lund,Evaluation of water repellency reduction methods and groundwater recharge distribution,10 ft section of 2-inch dia. schedule 40 PVC pipe open at bottom with no screen in unsaturated zone.  PVC coupling installed by J. Nieber near land surface to temporarily decrease stickup length when doing neutron probe measurements.,Casing depth and stickup lengths are approximate.,
x1614,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342519.14,5271128.36,,,433.404,0.091,20160809,,USGS MN Water Science Center,B. Mason; J.W. Lund,Evaluation of water repellency reduction methods and groundwater recharge distribution,10 ft section of 2-inch dia. schedule 40 PVC pipe open at bottom with no screen in unsaturated zone.  PVC coupling installed by J. Nieber near land surface to temporarily decrease stickup length when doing neutron probe measurements.,Casing depth and stickup lengths are approximate.,
x1615,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342493.53,5271156.9,,,433.383,0.091,20160809,,USGS MN Water Science Center,B. Mason; J.W. Lund,Evaluation of water repellency reduction methods and groundwater recharge distribution,10 ft section of 2-inch dia. schedule 40 PVC pipe open at bottom with no screen in unsaturated zone.  PVC coupling installed by J. Nieber near land surface to temporarily decrease stickup length when doing neutron probe measurements.,Casing depth and stickup lengths are approximate.,
x1616,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342752.48,5270950.51,,,428.743,0.091,20160809,,USGS MN Water Science Center,B. Mason; J.W. Lund,Evaluation of water repellency reduction methods and groundwater recharge distribution,10 ft section of 2-inch dia. schedule 40 PVC pipe open at bottom with no screen in unsaturated zone.  PVC coupling installed by J. Nieber near land surface to temporarily decrease stickup length when doing neutron probe measurements.,Casing depth and stickup lengths are approximate.,
xF1212G,Bemidji,scf,soil CO2 efflux collar,,,342768.62,5271038.2,,,430.209,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF1302G,Bemidji,scf,soil CO2 efflux collar,,,342761.78,5271036.06,,,430.073,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF707G,Bemidji,scf,soil CO2 efflux collar,,,342715.6,5271008.16,,,430.788,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF1602G,Bemidji,scf,soil CO2 efflux collar,,,342692.76,5271008.72,,,431.068,0.0,20160806,,USGS MN Water Science Center,Unknown,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF309B,Bemidji,scf,soil CO2 efflux collar,,,342794.01,5270850.36,,,425.275,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF2,Bemidji,scf,soil CO2 efflux collar,,,342702.9,5271085.08,,,432.06,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF310.open,Bemidji,scf,soil CO2 efflux collar,,,342617.21,5270950.85,,,433.289,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF310E,Bemidji,scf,soil CO2 efflux collar,,,342606.95,5270949.9,,,433.358,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
xF310G.2,Bemidji,scf,soil CO2 efflux collar,,,342602.47,5270956.8,,,433.641,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
x1402G-00,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",x473426095052447,1402G-00  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,"Continuous measurements of  soil moisture, temperature, CO2 and O2 soil gas.","Vertical array of O2 (Apogee SO-100 or 110) and CO2 sensors (Vaisala), and Campbell soil moisture/temperature sensor array.","Datalogger station for 1302G site. Soil moisture/temperature sensor array. CO2 & O2 soil gas sensors. Poured 1 bag of silica sand down 2-inch PVC casing that houses wires/cables & vapor tubes. From there, poured dry bentonite quick grout (w/no water) down the remaining PVC casing. Used funnel to make sure no bentonite in borehole.",Located near well 534 nest.
x1302G-00,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",x473425095052715,1302G-00  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,20130523.0,,,J. Greene; A. Berg,"Continuous measurements of  soil moisture, temperature, CO2 and O2 soil gas.","Vertical array of 4 O2 (Apogee SO-100 or 110) and 3 CO2 sensors (Vaisala), and Campbell soil moisture/temperature sensor array.",Datalogger station for 1302G site. Soil moisture/temperature sensor array. CO2 & O2 soil gas sensors.,Located near well 1202
x1006-7,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342833.54,5271165.37,,,431.62,0.0,20100720,,USGS MN Water Science Center,J. Greene; A. Berg,to measure self-potential,vertical array of electrodes,,"Near 9019, installed geophysics electrodes in location on 7/21/10"
x1010-16,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342805.57,5271047.18,1.0,20.9,432.72,0.0,20100721,,USGS MN Water Science Center,J. Greene; A. Berg,to measure self-potential,vertical array of electrodes,,"North pool transect, near 601G"
x1110,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342806.8,5271046.79,1.0,21.87,432.871,0.155,20110621,"Started coring on 6/21/11 by MPCA, finished coring on 06/22/11 by USGS",USGS MN Water Science Center,J. Julik; J. Greene; A. Berg,to measure self-potential,vertical array of electrodes,Installed geoelectrode string in this hole with USGS rig. Notes recorded by Farag Mewafy.,Located near 601G
x1111,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342891.3,5271082.39,1.0,113.54,433.709,0.201,20110621,"Started coring on 6/21/11 by MPCA, MPCA finished coring on 6/22/11 at 14:30 CDT.  USGS finished installation 6/23/11 15:00 CDT",USGS MN Water Science Center,J. Julik; J. Greene; A. Berg,to measure self-potential,vertical array of electrodes,Installed geoelectrode string in this hole with USGS rig. Notes recorded by Farag Mewafy.,Located near 1101 well nest
x1123,Bemidji,pgs,passive unsaturated zone gas sampler,,,342618.55,5270944.99,1.0,-191.49,433.17,0.0,20110628,,USGS NE Water Science Center,J. Krahulik; B. Imig,passive gas sampler to sample for hydrocarbon vapors in subsurface,Passive soil vapor sampler SPMD installed within PVC casing here.  Sampler removed 10/26/11,"Dug with a post hole digger to about 4 ft below land surface, installed the PVC casing containing the passive sampler, which was capped 2 feet below land surface.  The casing was open to the soil matrix through a grid of holes drilled through the PVC.  Immediately above the PVC casing, native material was used as fill, followed by approximately 1 ft of bentonite, then native material was again used for the remainder of the hole to land surface.  A wooden stake was driven from land surface to the top of the PVC casing to find the sampler again.",Passive soil vapor sampler SPMD installed within PVC casing here.  Sampler removed 10/26/11
x1124,Bemidji,pgs,passive unsaturated zone gas sampler,,,342781.35,5271043.36,1.0,-2.79,430.46,0.0,20110628,,USGS NE Water Science Center,J. Krahulik; B. Imig,passive gas sampler to sample for hydrocarbon vapors in subsurface,Passive soil vapor sampler SPMD installed within PVC casing here.  Sampler removed 10/26/11,"Dug with a post hole digger to about 4 ft below land surface, installed the PVC casing containing the passive sampler, which was capped 2 feet below land surface.  The casing was open to the soil matrix through a grid of holes drilled through the PVC.  Immediately above the PVC casing, native material was used as fill, followed by approximately 1 ft of bentonite, then native material was again used for the remainder of the hole to land surface.  A wooden stake was driven from land surface to the top of the PVC casing to find the sampler again.",Passive soil vapor sampler SPMD installed within PVC casing here.  Sampler removed 10/26/11
x1125,Bemidji,pgs,passive unsaturated zone gas sampler,,,342833.45,5271052.56,1.0,48.57,432.82,0.0,20110628,,USGS MN Water Science Center,J. Greene; A. Berg,passive gas sampler to sample for hydrocarbon vapors in subsurface,passive soil vapor sampler SPMD installed within PVC casing. 3-inch dia. PVC from 24.0 ft - 2.0 ft  below land surface. PVC was perforated by drilling holes.  Passive gas sampler is inside PVC. PVC was capped.,"Located near 532 nest,  Sampler removed 10/26/11. No core taken. Drilled down 24 ft.filled annulus with native sand. hole filled with bentonite from 2 ft to land surface.","Located near 532 nest, Passive soil vapor sampler SPMD installed within PVC casing here.  Sampler removed 10/26/11"
x11-UBC 2*,Bemidji,scf,soil CO2 efflux collar,,,342740.58,5271054.4,,,430.39,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 2A,Bemidji,scf,soil CO2 efflux collar,,,342744.58,5271050.72,,,430.34,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 2B,Bemidji,scf,soil CO2 efflux collar,,,342744.76,5271049.58,,,430.27,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 2C,Bemidji,scf,soil CO2 efflux collar,,,342745.63,5271050.68,,,430.33,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 3A,Bemidji,scf,soil CO2 efflux collar,,,342753.93,5271042.36,,,430.13,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 3B,Bemidji,scf,soil CO2 efflux collar,,,342752.91,5271042.53,,,430.15,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 3C,Bemidji,scf,soil CO2 efflux collar,,,342753.96,5271043.38,,,430.2,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 4*,Bemidji,scf,soil CO2 efflux collar,,,342757.76,5271038.62,,,430.06,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 4B,Bemidji,scf,soil CO2 efflux collar,,,342760.95,5271034.56,1.0,-25.01,430.05,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x2215,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342814.813,5270868.987,,,426.074,0.0,20220823,,USGS MN Water Science Center,"B. Mason, J. Trost",Geophysical self-potential (SP) measurements,Installed Geophysics SP sensor array at this site. Shelter and solar panel were also installed at this site to record continuous geophysical measurements.,,Located near 1428 well
x2317,Bemidji,gw,"glass well, fluorescence measurements, no well screen, bottom ~8 ft. is glass encased in PVC, with windows in the PVC for viewing",,,342810.1346,5270874.996,,,426.3,0.655,20230616,,USGS MN Water Science Center,"J. Peschman, J. Weber, J. Trost",fluorescence measurements,"Core first with DT325, 0-5, 5-11 (freeze shoe). Freeze shoe line broke. Installed glass well for fluorescence measurements. No well screen.",Glass well installation for fluorescence measurements,Located near well 312
x2318,Bemidji,gw,"glass well, fluorescence measurements, no well screen, bottom ~8 ft. is glass encased in PVC, with windows in the PVC for viewing",,,342816.2263,5270884.954,,,426.67,1.015,20230617,,USGS MN Water Science Center,"J. Peschman, J. Weber, J. Trost",fluorescence measurements,"Core first with DT325, 0-5, 5-11 (freeze shoe). Freeze shoe line broke. Installed glass well for fluorescence measurements. No well screen.",Glass well installation for fluorescence measurements,Located near well 314
x2416,Bemidji,gw,"glass well, fluorescence measurements, no well screen, bottom ~8 ft. is glass encased in PVC, with windows in the PVC for viewing",,,5270879.839,342813.0931,,,426.433,0.475,20240723,,USGS MN Water Science Center,J. Peschman,fluorescence measurements,"One core with 3.75’’ diameter DT325, 5-10’ BLS (no freeze shoe). Installed glass well for fluorescence measurements. No well screen.",Glass well installation for fluorescence measurements,Located near well 978
x2417,Bemidji,gw,"glass well, fluorescence measurements, no well screen, bottom ~8 ft. is glass encased in PVC, with windows in the PVC for viewing",,,5270876.004,342815.031,,,426.293,0.762,20240723,,USGS MN Water Science Center,J. Peschman,fluorescence measurements,"One core with 3.75’’ diameter DT325, 5-10’ BLS (no freeze shoe). Installed glass well for fluorescence measurements. No well screen.",Glass well installation for fluorescence measurements,Located near well 1429
xCC,Bemidji,cc,cryo chamber for freezing collected cores,,,342851.0,5271079.0,,,433.433,,,,USGS MN Water Science Center,,location to freeze recently collected cores,approx. 4-6'' diameter vertically cased borehole below ground to freeze recently collected cores,"This was the location of the cyro chamber, which was originally used to freeze recently collected cores. This site/equipment was removed from this location sometime prior to 2020 and is now marked with a core plate.",Located near 514 well. Cryo Chamber location. This was removed sometime prior to 2020.
x11-UBC 4C,Bemidji,scf,soil CO2 efflux collar,,,342761.93,5271035.54,1.0,-23.71,430.05,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 604_20L,Bemidji,scf,soil CO2 efflux collar,,,342747.29,5271048.18,,,430.21,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
