"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Geochemical characteristics and origin of crude oil from Carboniferous volcanic rocks in the Hongche Fault Zone of the Junggar Basin of China","https://scispace.com/paper/geochemical-characteristics-and-origin-of-crude-oil-from-27kkyup7","2022","Journal Article","Frontiers in Earth Science","Qingbo He
Shijia Chen
Jian Wang
Liping Zhao
Zhi-jie Ma","10.3389/feart.2022.953245","https://scispace.com/pdf/geochemical-characteristics-and-origin-of-crude-oil-from-27kkyup7.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses heavy‑oil biodegradation and employs biomarker analysis to characterize degradation, but lacks thermodynamic/exergy, entropy, or Gouy‑Stodola treatment.","In recent years, significant advances have been made in the exploration of Carboniferous volcanic reservoirs in the Hongche Fault Zone of the Junggar Basin of China, showing good prospects for further exploration. However, the large variation in the physical properties of crude oil and the complex distribution rule inhibit the one-step exploration. In this study, the PM scale of the biodegradation of crude oil and source of crude oil were studied using experimental methods that target the properties, bulk properties and biomarker compounds of crude oil. The exploration potential of crude oil in this area was analysed, and an accumulation model of crude oil was established. Based on the differences in biomarker compounds and the degree of biodegradation, crude oils were divided into four groups and seven subgroups. Additionally, the analysis of the biomarker compounds of crude oil combined with the hydrocarbon-generation history of source rocks showed that there were at least two periods of oil charging in this area. The first period was the late Triassic, with crude oil derived from the P1f source rock. Owing to the strong tectonic activity during the late Indosinian movement, the oil reservoirs were distributed in the footwall of the fault zone, and the oil in the reservoir exhibited different degrees of biodegradation, forming crude oils of subgroup I1, II and III1. The second period was Cretaceous, during which the P1f source rock was in the natural gas generation stage, and the P2w source rock was at a mature stage. A small part of the crude oil formed by the P2w source rock migrated to the Carboniferous reservoirs and mixed with the crude oil formed by the earlier P1f source rock, resulting in crude oils of subgroups I2, III2, and IV2. The crude oil in the studied area originated from the source rocks in the sag during the peak of oil generation. As tectonic activity approached stability in the latter period, it is speculated that there may be well-preserved primary oil and gas reservoirs in the footwall and slope areas of the fault, making these potential exploration sites."
"Avaliação geoquímica de biomarcadores ocluídos em estruturas asfaltênicas","https://scispace.com/paper/avaliacao-geoquimica-de-biomarcadores-ocluidos-em-estruturas-n6t6c0zy0s","2009","Journal Article","Química Nova","Débora A. Azevedo
Taís Freitas da Silva
Daniel Bastos da Silva","10.1590/S0100-40422009000700017","https://scispace.com/pdf/avaliacao-geoquimica-de-biomarcadores-ocluidos-em-estruturas-n6t6c0zy0s.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses occluded biomarkers from asphaltenes to assess biodegradation of Brazilian crude oils, showing protection of n‑alkanes; no thermodynamic, entropy, or reservoir abandonment analysis.","Asphaltenes from two Brazilian crude oils were submitted to mild oxidation to disrupt their structure, releasing the occluded oil. The released hydrocarbons were compared with those from the original crude oil, and used to evaluate the alteration of the oils, especially as a result of biodegradation, but also thermal maturity. The crude oils used are depleted in n-alkanes, which are usually related to biodegradation. However, the released products from the corresponding asphaltenes have n-alkane distributions from nC10 to nC40, suggesting a protection effect from biodegradation. The m/z 191 mass chromatograms showed higher relative intensities for tricyclic terpanes than the hopanes in the crude in comparison with the released ones."
"Investigation on the biodegradation levels of super heavy oils by parameter-striping method and refined Manco scale: a case study from the Chepaizi Uplift of Junggar Basin","https://scispace.com/paper/investigation-on-the-biodegradation-levels-of-super-heavy-2g40fwp0hc","2021","Journal Article","Petroleum Science","Xiangchun Chang
Bingbing Shi
Zhongquan Liu
Yue Wang
Youde Xu","10.1007/S12182-020-00542-X","https://link.springer.com/content/pdf/10.1007/s12182-020-00542-x.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Analyzes heavy oil biodegradation using biomarkers and refined Manco scale; lacks thermodynamic, exergy, entropy, viscosity, or reservoir abandonment analysis.",""
"High efficiency dual-fuel combustion through thermochemical recovery and diesel reforming","https://scispace.com/paper/high-efficiency-dual-fuel-combustion-through-thermochemical-4canz3wk0r","2017","Journal Article","Applied Energy","Flavio Dal Forno Chuahy
Sage L. Kokjohn","10.1016/J.APENERGY.2017.03.078","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions Gouy-Stodola equation for exergy destruction; lacks heavy oil biodegradation, reservoir context, viscosity links, and full exergy framework for biodegradation.",""
"Deterioration of oil quality during sample storage: are stored reservoir core samples a viable resource for oil viscosity determination?","https://scispace.com/paper/deterioration-of-oil-quality-during-sample-storage-are-o7iv5gcbii","2019","Journal Article","Fuel","Barry Bennett
Chunqing Jiang
Stephen R. Larter","10.1016/J.FUEL.2019.02.002","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses biomarkers to link biodegradation to oil viscosity changes, but does not include thermodynamic/exergy or entropy analyses, nor mention Gouy‑Stodola.",""
"Origin of Mesozoic Biodegraded Crude Oils from the Eastern Chepaizi Uplift (Junggar Basin) Constrained by the Biomarker Recovery Method","https://scispace.com/paper/origin-of-mesozoic-biodegraded-crude-oils-from-the-eastern-2cz6b1ps","2023","Journal Article","Energy & Fuels","Zhaoyang Wang
Xiangchun Chang
Youde Xu
Pengfei Zhang
Bingbing Shi
Tianchen Ge
Yanfang Yin
Lei Su","10.1021/acs.energyfuels.2c03750","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses biomarker recovery method to characterize and correlate biodegraded oils, but lacks thermodynamic, exergy, entropy, viscosity, or Gouy‑Stodola analysis and does not discuss reservoir abandonment.","The Mesozoic (Jurassic and Cretaceous) sandstone reservoirs in the eastern Chepaizi Uplift of the Junggar Basin (NW China) have become hot targets in recent years for their substantial amounts of oils discovered. However, the oil origin has been a controversial issue due to biodegradation. In this study, hierarchical cluster analysis and principal component analysis show that the Mesozoic crude oils can be divided into three oil families (A1, A2, and A3). Meanwhile, the biodegradation level of the three oil families (PM 6 to 9+) was evaluated based on the PM scale and the parameter-stripping method of strongly resistant parameters. Allowing for this extremely high biodegradation case, this study adopted a biomarker recovery method to recover the original appearances of the three oil families. Here, eight parameters related to hopane (H), tricyclic terpane (TT), and C24-tetracyclic terpane (C24 Tet) were recovered, the dispersion of eight parameter sets is significantly reduced, and the geochemical characteristics are more obvious, especially for TT. Thus, this reliability and robustness, as well as the similarity between the source rock and the biodegraded crude oils, encourage us to perform oil–source correlation. The oil–source correlation revealed that family A1 was derived from the Permian source rocks in the Shawan Sag, family A2 was mainly derived from the Permian source rocks in the Shawan Sag and mixed with a small amount of oils generated by the Jurassic source rocks in the Sikeshu Sag and the Carboniferous source rocks in the Chepaizi Uplift, and family A3 mainly originated from the Permian source rocks in the Shawan Sag mixed with a small amount of oil produced by the Carboniferous source rocks in the Chepaizi Uplift. This conclusion is also further supported by effective biomarker parameters and a stable carbon isotope (δ13C), discriminant analysis, hydrocarbon migration, and restored paleogeomorphology. The parameter recovery is evidenced as one of the most useful methods and showed higher resolution than the conventional oil–source correlation to identify the origins of biodegraded oils. "
"Subsurface biodegradation of crude oil in a fractured basement reservoir, Shropshire, UK","https://scispace.com/paper/subsurface-biodegradation-of-crude-oil-in-a-fractured-25lxa8moug","2017","Journal Article","Journal of the Geological Society","John Parnell
Mas'ud Baba
Stephen A. Bowden
David Muirhead","10.1144/JGS2016-129","https://www.lyellcollection.org/doi/pdf/10.1144/jgs2016-129","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes biomarker compositions to infer biodegradation of viscous oil residues, but provides no thermodynamic/exergy or entropy‑viscosity analysis and does not discuss abandonment.","Subsurface biodegradation of crude oil in current oil reservoirs is well established, but there are few examples of ancient subsurface degradation. Biomarker compositions of viscous and solid oil residues (‘bitumen’) in fractured Precambrian and other basement rocks below the Carboniferous cover in Shropshire, UK, show that they are variably biodegraded. High levels of 25-norhopanes imply that degradation occurred in the subsurface. Lower levels of 25-norhopanes occur in active seepages. Liquid oil trapped in fluid inclusions in mineral veins in the fractured basement confirms that the oil was emplaced fresh before subsurface degradation. A Triassic age for the veins implies a 200 myr history of hydrocarbon migration in the basement rocks. The data record microbial biodegradation of hydrocarbons in a fractured basement reservoir, and add to evidence in modern basement aquifers for microbial activity in deep fracture systems. Buried basement highs may be especially favourable to colonization, through channelling fluid flow to shallow depths and relatively low temperatures, and are therefore an important habitat within the deep biosphere."
"Oil Biodegradation in Siliciclastic Reservoir: an Example from Paleogene, Oliva Block, North of Santos Basin, Brazil","https://scispace.com/paper/oil-biodegradation-in-siliciclastic-reservoir-an-example-1u7d70vvhv","2017","Journal Article","","Natália Medeiros Marins Nunes
Marcus Vinicius Berao Ade
René Rodrigues
Fernanda de Assis
Felipe Nascimento
Ricardo Teixeira Nicácio Leite","10.11137/2017_3_222_231","https://scispace.com/pdf/oil-biodegradation-in-siliciclastic-reservoir-an-example-1u7d70vvhv.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses biomarkers to characterize oil biodegradation level; does not discuss heavy‑oil specifics, thermodynamic/exergy analysis, entropy generation, viscosity changes, or Gouy‑Stodola theorem.","For a petroleum company, the oil biodegradation is an important aspect to appraisal both exploration/production and economic perspective. Black to volatile oils require different materials and techniques in comparison to those used for heavy oils. Economically, biodegradable oils has a lower market value than the non-biodegradable oil. Following the presence and absence of a set of biomarkers observed in the chromatograms and fragmentograms, it is possible an interpretation and an indentification of different levels of biodegradation . This methodology comprises the main objective of this work. The oil studied lacks “n” and iso-alkanes, the major proportion of tricyclic on the pentacyclic, the presence of demethylated compounds, plus the major proportion of diasteranes on steranes, suggesting an advanced degree of biodegradation. According to this investigation, the degree 8 of biodegradation (Peter & Moldowan, 1993), records a huge process of bacterial attack happened into the reservoir in a range of temperature from 35°C up to 50°C, from the oil/water contact."
"Geochemical evaluation of crude oils in the llanos orientales basin","https://scispace.com/paper/geochemical-evaluation-of-crude-oils-in-the-llanos-3ivaeiuz","2023","Journal Article","Ingeniería Investigación y Desarrollo","","10.19053/1900771x.v23.n1.2023.15441","https://scispace.com/pdf/geochemical-evaluation-of-crude-oils-in-the-llanos-3ivaeiuz.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses biomarkers to identify crude oil biodegradation in the Llanos Orientales basin; does not address thermodynamics, exergy, entropy, viscosity, or reservoir abandonment.","El área del presente estudio se localiza en la cuenca de los Llanos Orientales, en la cual se realizó como objetivo principal una evaluación geoquímica de crudos en las provincias geológicas y de producción: Piedemonte, Arauca, Casanare y MetaVichada a partir de información relacionada con parámetros bulk, cromatografía de gases y biomarcadores. Se analizaron los datos por cada una de las provincias y se reorganizaron de acuerdo con la formación geológica correspondiente a la roca reservorio indicada para cada muestra de crudo de donde resultaron 576 muestras de crudos con la información que permitió relacionar algunos compuestos del petróleo y definir los ambientes de depósito de las facies de las rocas generadoras de los crudos, identificar procesos de biodegradación y mezclas de crudos. De igual manera, se realizaron mapas donde se clasificaron los crudos de acuerdo a su calidad. Se logró establecer que los crudos de mejor calidad pertenecen al sector Piedemonte en la Formación Mirador. Por otra parte, el sector donde los crudos muestran menor calidad corresponde a Meta-Vichada en la Formación San Fernando. Este análisis se realizó para las cuatro provincias obteniendo información clave para futuras campañas exploratorias en la cuenca Llanos Orientales, teniendo en cuenta que es la cuenca más rica en hidrocarburos de Colombia."
"Mapping and Modeling Large Viscosity and Asphaltene Variations in a Reservoir Undergoing Active Biodegradation","https://scispace.com/paper/mapping-and-modeling-large-viscosity-and-asphaltene-248d01t863","2014","Proceedings Article","","Richard Jackson
Julian Y. Zuo
Ankit Agarwal
Bernd Heinrich Herold
Sanjay Kumar
Ilaria De Santo
Hadrien Dumont
Cosan Ayan
Oliver C. Mullins","10.2118/170794-MS","","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows biodegradation causes large viscosity and heavy‑end gradients in a reservoir, but lacks exergy, entropy, abandonment or biomarker analysis.","Viscosity is one of the key reservoir fluid properties. It plays a central role in well productivity and displacement efficiency and has a significant impact on completion strategies. Accurately assessing areal and vertical variations of viscosity will lead to more realistic reservoir simulation and optimal field development planning. Downhole fluid analysis (DFA) has successfully been used to measure the properties of reservoir fluids downhole in real time. DFA has excellent accuracy in measuring fluid gradients which in turn enable accurate thermodynamic modeling. Integration of DFA measurements with the thermodynamic modeling has increasingly been employed for evaluating important reservoir properties such as connectivity, fluid compositional and property gradients. The thermodynamic model is the only one that has been shown to treat gradients of heavy ends in all types of crude oils and at equilibrium and disequilibrium conditions. In addition, fluid viscosity depends on concentration of heavy ends that are associated with optical density measured by DFA. Therefore, mapping viscosity and optical density (heavy end content) is a new important application of DFA technology for use as assessment of reservoir architectures and a mutual consistency check of DFA measurements. In this case study, a very large monotonic variation of heavy end content and viscosity is measured. Several different stacked sands exhibit the same profiles. The crude oil at the top of the column exhibits an equilibrium distribution of heavy ends, SARA and viscosity, while the oil at the base of the oil column exhibits a gradient that is far larger than expected for equilibrium. The fluid properties including SARA contents, viscosity and optical density vary sharply with depth towards the base of the column. The origin of this variation is shown to be due to biodegradation. GC-chromatographs of the crude oils towards the top of the column appear to be rather unaltered, while the crude oils at the base of the column are missing all n-alkanes. A new model is developed that accounts for these observations that assumes biodegradation at the oil-water contact (OWC) coupled with diffusion of alkanes to the OWC. Diffusion is a slow process in a geologic time sense accounting for the lack of impact of biodegradation at the top of the column. An overall understanding of charging timing into this reservoir and expected rates of biodegradation are consistent with this model. The overall objective or providing a 1st-principles viscosity map in these stacked sand reservoirs is achieved by this modeling. Linking DFA with thermodynamic modeling along with precepts from petroleum systems modeling provides a compelling understanding of the reservoir."
